,id,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
158,AH17D046,0,0,0,1,0,0
159,AH17A031,0,1,0,0,0,0
160,CPO131,0,1,0,0,0,0
161,AH17C070,0,0,0,0,0,1
162,AH17B073,0,1,0,0,0,0
163,AH17A073,0,0,0,0,1,0
164,AH17E173,0,0,0,0,1,0
165,AH17E003,0,0,0,1,0,0
166,AH17E042,1,0,0,0,0,0
167,AH17F002,0,0,0,1,0,0
168,AH16L022,0,1,0,0,0,0
169,CPO154,0,0,0,1,0,0
170,CPO170,0,1,0,0,0,0
171,CPO180,0,0,0,0,0,1
172,CPO430,0,0,0,0,1,0
173,AH17A052,0,1,0,0,0,0
174,CPO147,0,0,0,0,0,1
175,AH21H065,0,1,0,0,0,0
176,AH19E006,0,1,0,0,0,0
177,AH17C042,0,0,0,0,1,0
178,AH19F064,0,0,0,0,1,0
179,AH17C018,0,0,0,1,0,0
180,AH21J023,0,1,0,0,0,0
181,CPO174,0,0,0,0,1,0
182,AH19B066,0,0,0,0,1,0
183,AH17J048,0,1,0,0,0,0
184,CPO510,0,0,1,0,0,0
185,AH17E037,1,0,0,0,0,0
186,AH20H036,1,0,0,0,0,0
187,CPO133,1,0,0,0,0,0
188,AH17C073,0,0,1,0,0,0
189,AH20G067,0,0,1,0,0,0
190,AH17A003,1,0,0,0,0,0
191,AH17A064,0,0,1,0,0,0
192,AH17B017,1,0,0,0,0,0
193,AH17A057,1,0,0,0,0,0
194,AH17A054,0,0,1,0,0,0
195,AH17B069,1,0,0,0,0,0
196,AH20J004,1,0,0,0,0,0
197,AH21A078,1,0,0,0,0,0
198,AH17E030,1,0,0,0,0,0
199,AH19L014,0,0,1,0,0,0
200,AH21H001,0,0,1,0,0,0
201,AH17D048,1,0,0,0,0,0
202,AH17A027,1,0,0,0,0,0
203,AH21I068,1,0,0,0,0,0
204,AH21I017,0,0,1,0,0,0
205,AH17A025,0,0,1,0,0,0
206,AH17D098,0,0,1,0,0,0
207,AH17E041,0,0,1,0,0,0
208,AH17C072,0,0,1,0,0,0
209,AH17B076,1,0,0,0,0,0
210,AH17A071,0,0,1,0,0,0
211,AH17B064,0,0,1,0,0,0
212,AH17J025,0,0,1,0,0,0
213,AH17C026,0,0,1,0,0,0
214,AH17A002,1,0,0,0,0,0
215,AH17C068,1,0,0,0,0,0
216,CPO111,0,0,1,0,0,0
217,AH17E014,0,0,1,0,0,0
218,AH17F005,1,0,0,0,0,0
219,AH17G069,0,0,1,0,0,0
220,AH17B007,1,0,0,0,0,0
221,CPO186,0,0,1,0,0,0
222,AH17G030,0,0,1,0,0,0
223,CPO412,0,0,0,0,0,1
224,AH17B037,0,0,1,0,0,0
225,AH19E033,1,0,0,0,0,0
226,AH21K014,1,0,0,0,0,0
227,CPO467,1,0,0,0,0,0
228,AH17E046,0,0,1,0,0,0
229,AH17D001,0,0,1,0,0,0
230,AH17B071,0,0,1,0,0,0
231,AH20D042,0,0,1,0,0,0
232,AH21H046,1,0,0,0,0,0
233,AH21D064,1,0,0,0,0,0
234,AH17A051,1,0,0,0,0,0
235,AH21D050,0,0,0,1,0,0
236,CPO469,0,0,1,0,0,0
237,AH17E004,1,0,0,0,0,0
238,CPO085,0,1,0,0,0,0
239,AH17E027,1,0,0,0,0,0
240,AH16L013,1,0,0,0,0,0
241,AH17D097,0,0,0,1,0,0
242,CPO570,1,0,0,0,0,0
243,AH17E178,1,0,0,0,0,0
244,AH19I023,1,0,0,0,0,0
245,AH17E020,0,0,1,0,0,0
246,AH21E081,1,0,0,0,0,0
247,AH18L006,0,0,1,0,0,0
248,AH17A066,1,0,0,0,0,0
249,CPO523,1,0,0,0,0,0
250,AH17A076,0,0,0,0,1,0
251,AH19H075,0,0,0,0,1,0
252,AH17B047,0,0,0,0,0,1
253,AH20A016,0,1,0,0,0,0
254,CPO500,0,0,0,0,1,0
255,AH17B005,0,0,0,0,0,1
256,AH17E008,0,0,0,0,1,0
257,AH17A075,0,1,0,0,0,0
258,AH17A069,0,1,0,0,0,0
259,AH17B072,0,1,0,0,0,0
260,CPO528,0,1,0,0,0,0
261,AH19I051,0,0,0,0,1,0
262,AH17D051,0,0,0,0,1,0
263,AH17B065,0,1,0,0,0,0
