0,1,2,3,4,5,6,7,id
0.97405165,0.91085714,0.7950075,0.34384578,0.22097284,0.19203247,0.45882037,0.6217799,AH17A072
0.94897544,0.88595754,0.7722572,0.33036402,0.21448712,0.1883427,0.45048434,0.6056198,AH21C001
0.9608175,0.8968827,0.7819026,0.33636525,0.21679859,0.19029875,0.4533101,0.612544,CPO100
0.96452427,0.90344167,0.7875021,0.34211844,0.21881326,0.18680471,0.45439216,0.61876607,AH18J067
0.9156591,0.85987085,0.7533704,0.31648037,0.20536713,0.18867323,0.43946946,0.5835464,AH17G002
0.9443477,0.88262063,0.7696754,0.32729766,0.21179034,0.18792734,0.4506626,0.6051542,AH17C019
0.9413047,0.87821966,0.76673865,0.32653722,0.21196555,0.18847544,0.4498882,0.60141534,AH19J066
0.94243175,0.8796796,0.7669401,0.32638818,0.21260113,0.18864986,0.4497586,0.6017984,CPO512
0.94766587,0.88463604,0.7717793,0.3303247,0.21369474,0.1902994,0.45060724,0.60529554,AH17B010
0.94453007,0.8836188,0.77067524,0.3282839,0.21167547,0.18665777,0.4512881,0.6073923,AH19B019
0.9516762,0.89140004,0.7781835,0.33364862,0.21484151,0.19088958,0.45020285,0.6068662,AH19G042
0.9724152,0.9088861,0.7914802,0.3440914,0.22127332,0.18795127,0.45695323,0.62216645,AH17E009
0.93229187,0.8738616,0.763808,0.32183963,0.20896041,0.19017251,0.44652003,0.5943344,AH17E019
0.95097387,0.8883065,0.7743011,0.33246118,0.21512654,0.18810114,0.45037043,0.60734713,CPO466
0.9528522,0.89274853,0.7785118,0.3344043,0.21502672,0.18719009,0.45250523,0.6106997,AH16L034
0.93704545,0.87552625,0.7633783,0.32462877,0.21060455,0.1872974,0.4476446,0.5996808,AH17B038
0.9170112,0.8584349,0.7490619,0.31438714,0.20520659,0.1871131,0.4422852,0.5861053,AH17A065
0.9591361,0.894564,0.7806027,0.33552355,0.2160455,0.1913599,0.45424536,0.6123249,AH20L011
0.94658154,0.88339055,0.77051413,0.3280651,0.21298362,0.18925717,0.45121416,0.6040656,AH17D104
0.9471441,0.8841264,0.77036816,0.33012983,0.21335691,0.18779631,0.44977275,0.60526603,AH17D052
0.94523185,0.88205534,0.7693384,0.32708427,0.2124747,0.18940315,0.45073706,0.60301447,AH17E039
0.9567866,0.89473104,0.7797785,0.33612442,0.21673897,0.18683805,0.4539336,0.6134156,AH21K050
0.9497201,0.8860251,0.77325326,0.32945237,0.21306908,0.19150607,0.452741,0.6058468,AH18K079
0.94676626,0.88383836,0.7697688,0.3297008,0.2129939,0.18777537,0.44993386,0.6062523,CPO497
0.9404561,0.87767667,0.7652483,0.32625866,0.21161963,0.18798411,0.44837198,0.6011383,AH17E002
0.97614443,0.914124,0.7970949,0.34767574,0.22180553,0.18774852,0.45656392,0.6254644,AH17B063
0.93606716,0.87755394,0.7671271,0.32541093,0.2086214,0.18891409,0.44705126,0.6003841,AH19E056
0.9418613,0.8789081,0.76752985,0.32474756,0.21200283,0.18968293,0.45044187,0.6002642,AH22A148
0.9613586,0.89828175,0.7828106,0.3374913,0.21732625,0.1873493,0.45506704,0.6155323,AH17E035
0.96559715,0.9002017,0.7856389,0.33582193,0.21730459,0.19262195,0.4562197,0.6133902,AH17B059
0.9490437,0.88424814,0.7710165,0.32628405,0.21266955,0.19158012,0.45328426,0.603303,AH17E169
0.93400824,0.87129724,0.76152676,0.32365263,0.2095311,0.18801457,0.4479347,0.5967913,AH17K030
0.9381662,0.87468404,0.7628928,0.32251507,0.20998791,0.18925813,0.44933385,0.5980954,AH19L016
0.96286464,0.8981746,0.7832616,0.33594924,0.21638319,0.19206369,0.45547444,0.6135498,AH17D114
0.95675206,0.8923536,0.7786307,0.33271167,0.21498783,0.19131884,0.45434278,0.6101105,AH20D012
0.9498748,0.8861384,0.7722969,0.3298743,0.21376343,0.18920977,0.4512404,0.6058006,CPO181
0.9548344,0.8924439,0.7793188,0.33504987,0.2154329,0.19076927,0.45053217,0.6091002,AH17E025
0.94389427,0.8800573,0.76858,0.32556933,0.2109613,0.19258204,0.4519413,0.60191905,AH16L007
0.9574864,0.8955445,0.7813052,0.33668983,0.21661283,0.18704262,0.45379293,0.61345875,AH17D101
0.97443247,0.9104957,0.79367864,0.34376225,0.22095828,0.193079,0.45796618,0.6218405,CPO159
0.962551,0.89831275,0.78303903,0.33490294,0.21789418,0.19111286,0.45818362,0.61411387,AH17E172
