0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,id
0.2281634,0.7950128,0.51846397,0.4870471,0.912754,0.8597854,0.8075043,0.6705967,0.9852324,0.78795195,0.1610957,0.77731323,0.78046876,0.13412203,0.35501722,0.29204807,AH17A072
0.21891817,0.7702065,0.5011059,0.47406057,0.88410825,0.83363485,0.782915,0.65110034,0.9559093,0.76403236,0.15824991,0.7528899,0.7549252,0.13017577,0.34161076,0.28336176,AH21C001
0.22189975,0.7797375,0.5078276,0.47885975,0.8947179,0.84314644,0.79285276,0.65791225,0.9664491,0.7730721,0.15937512,0.7608801,0.76411325,0.13198456,0.34669295,0.28620064,CPO100
0.22441614,0.79085773,0.51385206,0.4862989,0.9060707,0.8563644,0.80487055,0.66855675,0.9796123,0.7849104,0.16102858,0.7739292,0.7744587,0.13411175,0.35148856,0.2902654,AH18J067
0.21459168,0.7526718,0.48885363,0.46378583,0.8642499,0.81373113,0.764392,0.63322663,0.93557346,0.7430547,0.15604027,0.7343393,0.7386278,0.1258013,0.33459452,0.28013203,AH17G002
0.21864264,0.7726712,0.50213015,0.47466573,0.8872892,0.8360446,0.7835565,0.6529817,0.9581896,0.7657958,0.1579351,0.75489324,0.75529146,0.13053274,0.34191123,0.28459767,AH17C019
0.21784678,0.7671085,0.4990348,0.4725528,0.8810913,0.83105767,0.7792292,0.6491261,0.95352095,0.76087254,0.15799524,0.7503019,0.75244087,0.12957522,0.33990207,0.2834478,AH19J066
0.21789603,0.7658592,0.4977248,0.47159046,0.8797758,0.8288306,0.7776906,0.6475673,0.9507411,0.75881135,0.15736014,0.74874973,0.7510999,0.1292777,0.33911014,0.28259185,CPO512
0.22084746,0.77126694,0.5027528,0.47413558,0.8867612,0.83459455,0.7829838,0.65135765,0.95809746,0.76368576,0.15829346,0.7533893,0.7579319,0.12978631,0.34287295,0.2849815,AH17B010
0.21909347,0.7751936,0.5036139,0.47655272,0.8905587,0.83960557,0.7863784,0.6558695,0.96210796,0.7686799,0.15846944,0.75800276,0.75792694,0.13102405,0.34274825,0.28603503,AH19B019
0.22114393,0.77303547,0.5050269,0.47541353,0.88968533,0.8377858,0.78676635,0.65267026,0.9623827,0.76665026,0.15925229,0.7563767,0.760752,0.13060278,0.34557715,0.2863536,AH19G042
0.22444528,0.7898446,0.5140033,0.4856463,0.9052759,0.85459703,0.8037439,0.66771674,0.9784232,0.7842468,0.16095872,0.7723295,0.7738766,0.13417915,0.35141173,0.28909832,AH17E009
0.21738268,0.76393926,0.49661508,0.47087345,0.8778637,0.8270902,0.77690804,0.6442016,0.95029736,0.75648093,0.15800068,0.74730027,0.74978215,0.12821415,0.3390366,0.284039,AH17E019
0.21978076,0.77421457,0.5034427,0.4764216,0.88833815,0.8379101,0.7872644,0.6548626,0.9605812,0.76795703,0.15889981,0.7568296,0.7588374,0.13103655,0.3433489,0.28471833,CPO466
0.22070915,0.7794166,0.5065534,0.48065582,0.89443517,0.84518987,0.79369366,0.6591153,0.9677124,0.7740677,0.16003045,0.7636124,0.76405674,0.13268016,0.34566748,0.28728917,AH16L034
0.21693154,0.76428443,0.49683562,0.4711086,0.87723905,0.82783014,0.7768677,0.64635074,0.949762,0.7576452,0.15769546,0.7476582,0.7494672,0.12882867,0.33880043,0.28244418,AH17B038
0.21189375,0.74682105,0.48522037,0.46087328,0.85866374,0.80884707,0.758623,0.6306644,0.9303783,0.7398181,0.15579486,0.7303741,0.73307335,0.12561715,0.33055755,0.27797827,AH17A065
0.22355914,0.779039,0.5085695,0.47818413,0.8954984,0.8426033,0.7911056,0.6571358,0.9669784,0.77143526,0.15923963,0.76049656,0.76520175,0.13108121,0.34715334,0.28724116,AH20L011
0.2189711,0.7716622,0.50193244,0.47542074,0.88566214,0.83542174,0.784742,0.65266263,0.95806324,0.7656744,0.1586497,0.754383,0.7563739,0.13022678,0.34196156,0.2843246,AH17D104
0.21881984,0.7704861,0.50124353,0.47448388,0.8839675,0.8340604,0.7834386,0.65103394,0.95614886,0.76420426,0.15838808,0.7528585,0.75538087,0.1307488,0.34202105,0.28328627,AH17D052
0.2188541,0.77026,0.5005328,0.4747131,0.88412225,0.8340555,0.78285396,0.65098214,0.9559576,0.7636216,0.15855275,0.75294334,0.75496083,0.13011092,0.34130582,0.28355855,AH17E039
0.22141843,0.7823114,0.5079612,0.4823718,0.8970533,0.8474596,0.7957331,0.6619387,0.9697365,0.7765443,0.16038813,0.76576245,0.7662108,0.13306758,0.34630865,0.28727582,AH21K050
0.22078326,0.77150816,0.5030658,0.47433126,0.8867877,0.8348455,0.7831926,0.6509041,0.958187,0.7640217,0.15834358,0.7533181,0.7574889,0.12966219,0.3431236,0.28487262,AH18K079
0.2189446,0.7706979,0.50142896,0.47404256,0.885181,0.8342851,0.78306615,0.6516638,0.9569259,0.7642311,0.15826589,0.7530697,0.7555863,0.13049655,0.34184363,0.283954,CPO497
0.21768022,0.7662016,0.49870855,0.47225463,0.8801732,0.83011377,0.7789645,0.6483659,0.9526923,0.7600283,0.1582885,0.7494174,0.752023,0.1294893,0.3397634,0.28286132,AH17E002
0.22611466,0.7966795,0.5176619,0.488688,0.9130123,0.8614775,0.8101229,0.6731171,0.9855392,0.79080194,0.16090852,0.7785792,0.7797004,0.13572676,0.35491222,0.29130995,AH17B063
0.21957685,0.7709575,0.5022411,0.4722462,0.8881386,0.8349617,0.78182715,0.6508561,0.9593681,0.7624427,0.15778707,0.753725,0.7558621,0.12927823,0.34262958,0.28715417,AH19E056
0.21780594,0.7668219,0.49877402,0.47231612,0.8807264,0.8300712,0.77903175,0.6480119,0.95233876,0.76018625,0.15807557,0.74939895,0.75164515,0.12927644,0.33940402,0.28274995,AH22A148
0.22127455,0.78328305,0.5086633,0.48204842,0.8975222,0.8477781,0.7968561,0.66240054,0.9703188,0.7779637,0.15998302,0.76600903,0.7660247,0.13322245,0.34726912,0.28700727,AH17E035
0.22233851,0.78207284,0.50956,0.48009464,0.8971197,0.8451274,0.7951323,0.6594541,0.9684902,0.7755569,0.15998794,0.7623912,0.76550996,0.13194656,0.34793156,0.28634784,AH17B059
0.21844238,0.7688065,0.4998205,0.47355574,0.88230854,0.83175653,0.78169835,0.649105,0.9538836,0.7622853,0.15811884,0.7506928,0.7533551,0.12960763,0.34112287,0.28315857,AH17E169
0.21635012,0.7627041,0.49602395,0.46995947,0.8762339,0.8267536,0.7745322,0.645455,0.9482217,0.75560516,0.15691933,0.7460202,0.74803114,0.12944105,0.33771873,0.28228313,AH17K030
0.21601686,0.7617645,0.4943061,0.46872714,0.8739342,0.8235216,0.773237,0.64290464,0.94513273,0.7545751,0.15692404,0.7437541,0.74555326,0.12833175,0.337559,0.28070825,AH19L016
0.22272797,0.78092164,0.5088876,0.47913018,0.89641017,0.8444204,0.7937067,0.65858465,0.9682213,0.7738481,0.15960637,0.7619658,0.7656392,0.13191997,0.34756425,0.28720558,AH17D114
0.22188132,0.77635986,0.5064854,0.47698396,0.89210033,0.83994675,0.7885198,0.6552258,0.9634721,0.7696418,0.15880622,0.75789577,0.76142687,0.1308416,0.34544373,0.28577578,AH20D012
0.21892451,0.77097934,0.5014277,0.47513527,0.884879,0.83447844,0.7843009,0.65139645,0.95709485,0.76491874,0.1584333,0.7531577,0.75610113,0.130848,0.34239748,0.28364325,CPO181
0.22251472,0.77849853,0.5076276,0.47754565,0.89424926,0.84181136,0.79136753,0.65698767,0.96668047,0.7715746,0.15903004,0.7603307,0.7644264,0.13162223,0.34726632,0.28694966,AH17E025
0.22036141,0.7690463,0.5014995,0.47281185,0.88430655,0.83205587,0.78054696,0.64926976,0.9551864,0.7611314,0.15860635,0.7504371,0.7555933,0.12819548,0.34127817,0.2845736,AH16L007
0.22189194,0.7837456,0.50885844,0.48286015,0.8986679,0.84914833,0.79733294,0.66301817,0.9712291,0.7781746,0.16035402,0.7670813,0.76733834,0.13328762,0.3469459,0.2876156,AH17D101
0.22812231,0.7946531,0.5190793,0.48770693,0.91296715,0.86031026,0.80837864,0.67162126,0.985927,0.78830826,0.16114923,0.7775117,0.78169805,0.13421513,0.35526827,0.29249075,CPO159
0.22382265,0.7856814,0.5118559,0.48436582,0.90206134,0.8518776,0.79942757,0.6661351,0.9756041,0.77997243,0.16098559,0.77007025,0.77164286,0.13195135,0.34808153,0.289523,AH17E172
0.22655,0.79189205,0.51754373,0.48338094,0.9127413,0.8575422,0.8024247,0.6689952,0.9834105,0.7844694,0.15979831,0.7740497,0.7766685,0.13318479,0.35358128,0.2930432,AH17G012
0.21834773,0.7659553,0.49899957,0.47217375,0.8799575,0.82887626,0.77804446,0.648368,0.95231557,0.7597659,0.15807146,0.74937594,0.75201094,0.12833546,0.33968177,0.2824254,AH17E017
0.2264358,0.7958862,0.51818955,0.49008706,0.91247237,0.8624964,0.8121244,0.67202973,0.98667634,0.79057235,0.16201477,0.77970874,0.7810451,0.1363139,0.3556793,0.29195732,AH17D047
0.22100334,0.7735985,0.5039387,0.47525266,0.8887085,0.83740294,0.7867395,0.65241235,0.96133053,0.76614064,0.15871288,0.7560117,0.7595638,0.13082346,0.34494856,0.28607675,AH17E167
0.22302914,0.78046364,0.5094508,0.47863227,0.8961306,0.8433847,0.7932537,0.6580057,0.96802056,0.77353543,0.1593724,0.76097095,0.7656036,0.13127223,0.34823403,0.28708804,AH17C069
0.21970253,0.76864976,0.5014363,0.47363162,0.88374823,0.8328771,0.7836512,0.6481426,0.95762193,0.7618567,0.15850906,0.75280225,0.7562991,0.1303094,0.34361514,0.2855536,AH17C022
0.22475532,0.7902687,0.5140308,0.48700184,0.9064798,0.85628134,0.80402344,0.6688408,0.9790989,0.78435856,0.16118932,0.7734715,0.77427423,0.13306983,0.35035416,0.2902723,CPO144
0.22059184,0.7707721,0.5029027,0.47353214,0.88624316,0.83386874,0.78247154,0.65075654,0.9578927,0.76382303,0.1582221,0.75279945,0.75704813,0.12977734,0.3428613,0.2846456,AH19E003
0.20936157,0.73878926,0.48033303,0.45672214,0.8508135,0.80022687,0.74894077,0.6257983,0.9207715,0.7320832,0.15482986,0.72244376,0.7245235,0.122714676,0.32421607,0.2747311,AH17B062
0.21666831,0.7613261,0.49541217,0.4688761,0.8749265,0.82414824,0.7748072,0.6414611,0.9479391,0.75362754,0.15776756,0.744283,0.7481624,0.12819694,0.3386685,0.2834912,CPO155
0.22094566,0.77097166,0.5033695,0.47366259,0.886709,0.83452976,0.7823978,0.6510829,0.9583751,0.7640582,0.15833916,0.753932,0.7575739,0.12972519,0.3429204,0.28490454,AH16L023
0.22327462,0.77874863,0.5083459,0.4784098,0.89525604,0.84289616,0.79143447,0.657464,0.9672998,0.771745,0.1594359,0.7609782,0.7652168,0.13145526,0.34701827,0.28729436,AH19A001
